Date,Year,Pass,Site No.,FishNo,Species ,FinLength,Weight,ScaleAge,CapturedFloyTagNo,AppliedFloyTagNo,ActiveFloyTagNo,CapturedPITTagNo,AppliedPITTagNo,ActivePITTagNo,AgeMethod
10/18/2013,2013,0,L33,7,RB,232,146,1,,12663,12663,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L48,7,RB,230,152,1,,12707,12707,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L10,10,RB,232,147,1,,12388,12388,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L46,7,RB,224,140,1,,12638,12638,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L08,4,RB,270,232,1,,12466,12466,,9.85121E+14,9.85121E+14,SCA
10/15/2013,2013,3,L08,3,RB,370,517,3,,12465,12465,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L23,5,RB,267,252,1,,12446,12446,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L04,2,RB,229,151,1,,12464,12464,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L19,3,RB,363,584,3,,12773,12773,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L19,3,RB,248,184,1,,12861,12861,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L12,5,RB,328,,2,,12313,12313,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L23,7,RB,231,151,1,,12261,12261,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L02,3,RB,309,294,2,,12173,12173,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L11,8,RB,394,599,3,,12212,12212,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L19,10,RB,232,157,1,,12234,12234,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L10,2,RB,285,247,2,,12847,12847,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L20,6,RB,240,,1,,12335,12335,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L15,4,RB,261,228,1,,12772,12772,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L28,6,RB,232,,1,,12362,12362,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L25,2,RB,353,537,2,,12166,12166,,9.85121E+14,9.85121E+14,SCA
10/11/2013,2013,2,L04,2,RB,163,51,0,,,,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L06,3,RB,369,575,3,,12183,12183,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L26,2,RB,260,211,1,,12454,12454,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L49,12,RB,388,727,3,,12717,12717,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L06,3,RB,102,12,0,,,,,9.85121E+14,9.85121E+14,SCA
10/7/2013,2013,1,L16,3,RB,242,189,1,,12139,12139,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L23,2,RB,180,57,1,,,,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L11,7,RB,244,182,1,,12394,12394,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L01,5,RB,391,723,3,,12291,12291,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L19,18,RB,85,14,0,,,,,9.85121E+14,9.85121E+14,SCA
10/18/2013,2013,0,L33,11,RB,232,150,1,,12667,12667,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L10,4,RB,267,231,1,,12519,12519,,9.85121E+14,9.85121E+14,RA
10/23/2013,2013,5,L05,1,RB,388,629,4,,12798,12798,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L15,1,RB,225,138,1,,12216,12216,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L22,14,RB,341,445,2,,12250,12250,,9.85121E+14,9.85121E+14,SCA
10/16/2013,2013,3,L22,24,RB,215,111,1,,12557,12557,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L01,9,RB,265,206,1,,12109,12109,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L07,1,RB,290,298,1,,12185,12185,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L19,11,RB,215,112,1,,12426,12426,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L04,1,RB,255,185,1,,12463,12463,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L04,2,RB,360,505,3,,12113,12113,,9.85121E+14,9.85121E+14,SCA
10/7/2013,2013,1,L01,3,RB,256,207,1,,12103,12103,,9.85121E+14,9.85121E+14,SCA
10/16/2013,2013,3,L22,12,RB,361,511,3,,12545,12545,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L09,6,RB,233,,1,,12308,12308,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L22,5,RB,251,176,1,,12244,12244,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L23,9,RB,231,136,1,,12449,12449,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L22,22,RB,211,97,1,,12555,12555,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L31,12,RB,224,132,1,,12583,12583,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L36,4,RB,357,555,2,,12672,12672,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L22,15,RB,228,145,1,,12548,12548,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L11,7,RB,339,464,2,,12767,12767,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L46,3,RB,376,584,3,,12634,12634,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L05,4,RB,305,,2,,12297,12297,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L42,2,RB,305,356,2,,12629,12629,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L41,1,RB,356,465,3,,12692,12692,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L14,1,RB,332,396,3,,12768,12768,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L22,9,RB,260,204,1,,12246,12246,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L23,15,RB,138,28,0,,,,,9.85121E+14,9.85121E+14,SCA
10/20/2013,2013,4,L27,4,RB,236,141,1,,12797,12797,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L10,3,RB,402,726,3,,12198,12198,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L13,1,RB,357,,2,,12322,12322,,9.85121E+14,9.85121E+14,SCA
10/24/2013,2013,5,L15,5,RB,437,949,4,,12855,12855,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L38,11,RB,213,108,1,,12625,12625,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L09,4,RB,251,,1,,12306,12306,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L07,7,RB,247,191,1,,12516,12516,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L01,1,RB,367,547,3,,12101,12101,,9.85121E+14,9.85121E+14,SCA
10/11/2013,2013,2,L21,7,RB,227,,1,,12347,12347,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L37,11,RB,208,101,1,,12690,12690,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L23,13,RB,234,119,1,,12453,12453,,9.85121E+14,9.85121E+14,RA
10/23/2013,2013,5,L28,3,RB,265,211,1,,12831,12831,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L03,1,RB,260,201,1,,12179,12179,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L19,7,RB,227,150,1,,12422,12422,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L31,14,RB,238,163,1,,12585,12585,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L01,5,RB,270,248,1,,12105,12105,,9.85121E+14,9.85121E+14,SCA
10/11/2013,2013,2,L25,5,RB,262,,1,,12355,12355,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L14,4,RB,316,373,2,,12406,12406,,9.85121E+14,9.85121E+14,SCA
10/11/2013,2013,2,L16,7,RB,240,,1,,12325,12325,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L23,6,RB,182,65,1,,,,,9.85121E+14,9.85121E+14,SCA
10/19/2013,2013,4,L08,3,RB,342,489,2,,12740,12740,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L27,3,RB,255,195,1,,12796,12796,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L01,2,RB,228,110,1,,12462,12462,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L12,7,RB,236,,1,,12315,12315,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L25,3,RB,235,,1,,12353,12353,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L43,1,RB,220,107,1,,12630,12630,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L20,8,RB,235,,1,,12337,12337,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L52,3,RB,354,561,2,,12727,12727,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L34,11,RB,228,146,1,,12594,12594,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L16,4,RB,284,317,2,,12481,12481,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L10,11,RB,370,495,3,,12389,12389,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L07,5,RB,305,331,2,,12379,12379,,9.85121E+14,9.85121E+14,SCA
10/7/2013,2013,1,L21,4,RB,221,147,1,,12161,12161,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L34,21,RB,224,128,1,,12602,12602,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L31,9,RB,273,145,1,,12580,12580,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L14,3,RB,355,491,2,,12405,12405,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L06,2,RB,343,467,2,,12182,12182,,9.85121E+14,9.85121E+14,SCA
10/19/2013,2013,4,L20,6,RB,218,121,1,,12747,12747,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L48,1,RB,396,726,3,,12701,12701,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L36,11,RB,229,176,1,,12679,12679,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L13,2,RB,280,277,2,,12479,12479,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L34,3,RB,365,545,3,,12586,12586,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L07,3,RB,255,204,1,,12377,12377,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L36,13,RB,190,121,1,,,,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L35,4,RB,234,122,1,,12609,12609,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L48,3,RB,223,129,1,,12703,12703,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L49,17,RB,308,381,2,,12722,12722,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L16,9,RB,240,163,1,,12145,12145,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L09,7,RB,234,,1,,12309,12309,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L23,4,RB,346,420,2,,12445,12445,,9.85121E+14,9.85121E+14,SCA
10/20/2013,2013,4,L27,1,RB,367,433,3,,12795,12795,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L10,7,RB,265,222,1,,12385,12385,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L26,3,RB,364,527,2,,12265,12265,,9.85121E+14,9.85121E+14,SCA
10/15/2013,2013,3,L09,4,RB,368,621,3,,12473,12473,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L28,2,RB,337,397,2,,12503,12503,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L15,6,RB,248,183,1,,12409,12409,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L08,6,RB,381,,2,,12302,12302,,9.85121E+14,9.85121E+14,SCA
10/18/2013,2013,0,L36,12,RB,210,145,1,,12680,12680,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L08,1,RB,313,345,2,,12119,12119,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L10,9,RB,251,199,1,,12204,12204,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L22,9,RB,247,181,1,,12868,12868,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L23,11,RB,299,259,2,,12563,12563,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L38,6,RB,233,157,1,,12620,12620,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L05,2,RB,242,,1,,12295,12295,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L27,7,RB,199,88,1,,,,,9.85121E+14,9.85121E+14,RA
10/15/2013,2013,3,L28,9,RB,228,137,1,,12510,12510,,9.85121E+14,9.85121E+14,RA
10/19/2013,2013,4,L12,1,RB,253,196,1,,12743,12743,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L51,3,RB,257,234,1,,12650,12650,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L51,8,RB,277,259,2,,12653,12653,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L22,11,RB,145,36,0,,,,,9.85121E+14,9.85121E+14,SCA
10/23/2013,2013,5,L17,2,RB,336,422,2,,12813,12813,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L24,3,RB,228,,1,,12350,12350,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L19,17,RB,133,36,0,,,,,9.85121E+14,9.85121E+14,SCA
10/19/2013,2013,4,L16,4,RB,404,706,3,,12745,12745,,9.85121E+14,9.85121E+14,SCA
10/12/2013,2013,2,L11,5,RB,223,152,1,,12392,12392,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L15,2,RB,220,119,1,,12217,12217,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L10,9,RB,241,159,3,,12387,12387,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L35,3,RB,316,360,2,,12608,12608,,9.85121E+14,9.85121E+14,SCA
10/15/2013,2013,3,L16,7,RB,242,181,1,,12484,12484,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L09,1,RB,222,146,1,,12124,12124,,9.85121E+14,9.85121E+14,SCA
10/16/2013,2013,3,L19,4,RB,213,98,1,,12534,12534,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L22,19,RB,218,112,1,,12438,12438,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L31,4,RB,361,565,3,,12575,12575,,9.85121E+14,9.85121E+14,RA
10/19/2013,2013,4,L04,4,RB,249,177,1,,12738,12738,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L46,6,RB,364,293,3,,12637,12637,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L24,1,RB,242,179,1,,12164,12164,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L15,8,RB,251,219,1,,12411,12411,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L21,8,RB,230,,1,,12348,12348,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L10,5,RB,256,198,1,,12383,12383,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L27,7,RB,286,287,2,,12455,12455,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L15,6,RB,236,164,1,,12221,12221,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L50,10,RB,327,399,2,,12646,12646,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L21,5,RB,220,,1,,12345,12345,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L10,8,RB,367,510,3,,12386,12386,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L19,4,RB,323,429,2,,12228,12228,,9.85121E+14,9.85121E+14,SCA
10/15/2013,2013,3,L20,6,RB,232,173,1,,12492,12492,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L02,10,RB,109,14,0,,,,,9.85121E+14,9.85121E+14,SCA
10/16/2013,2013,3,L23,6,RB,322,381,2,,12559,12559,,9.85121E+14,9.85121E+14,SCA
10/11/2013,2013,2,L12,12,RB,246,,1,,12320,12320,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L52,9,RB,246,177,3,,12733,12733,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L12,10,RB,251,,1,,12318,12318,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L52,10,RB,281,272,2,,12734,12734,,9.85121E+14,9.85121E+14,RA
10/17/2013,2013,0,L51,6,RB,119,20,0,,,,,9.85121E+14,9.85121E+14,SCA
10/18/2013,2013,0,L45,6,RB,212,117,1,,12700,12700,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L27,4,RB,314,367,2,,12873,12873,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L49,15,RB,353,505,2,,12720,12720,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L03,2,RB,244,172,1,,12180,12180,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L12,2,RB,250,,1,,12310,12310,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L44,2,RB,211,141,1,,12695,12695,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L01,7,RB,248,173,1,,12107,12107,,9.85121E+14,9.85121E+14,SCA
10/23/2013,2013,5,L28,1,RB,317,384,2,,12829,12829,,9.85121E+14,9.85121E+14,RA
10/23/2013,2013,5,L21,1,RB,227,133,1,,12816,12816,,9.85121E+14,9.85121E+14,RA
10/20/2013,2013,4,L22,13,RB,270,245,1,,12786,12786,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L20,11,RB,236,,1,,12340,12340,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L13,3,RB,249,187,1,,12134,12134,,9.85121E+14,9.85121E+14,SCA
10/8/2013,2013,1,L10,5,RB,302,371,2,,12200,12200,,9.85121E+14,9.85121E+14,SCA
10/15/2013,2013,3,L21,8,RB,213,97,1,,12499,12499,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L22,2,RB,427,811,3,,12241,12241,,9.85121E+14,9.85121E+14,RA
10/19/2013,2013,4,L20,7,RB,93,12,0,,,,,9.85121E+14,9.85121E+14,SCA
10/20/2013,2013,4,L02,1,RB,391,661,4,,12755,12755,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L20,2,RB,233,139,1,,12149,12149,,9.85121E+14,9.85121E+14,SCA
10/18/2013,2013,0,L45,2,RB,399,721,5,,12696,12696,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L01,10,RB,252,181,1,,12110,12110,,9.85121E+14,9.85121E+14,SCA
10/18/2013,2013,0,L52,4,RB,376,697,3,,12728,12728,,9.85121E+14,9.85121E+14,RA
10/18/2013,2013,0,L37,3,RB,365,578,2,,12683,12683,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L15,7,RB,261,215,1,,12410,12410,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L22,21,RB,214,123,1,,12554,12554,,9.85121E+14,9.85121E+14,RA
10/24/2013,2013,5,L22,10,RB,222,124,1,,12869,12869,,9.85121E+14,9.85121E+14,RA
10/7/2013,2013,1,L05,5,RB,242,185,1,,12118,12118,,9.85121E+14,9.85121E+14,SCA
10/7/2013,2013,1,L20,6,RB,264,223,1,,12153,12153,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L31,11,RB,220,133,1,,12582,12582,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L10,2,RB,245,197,1,,12197,12197,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L23,8,RB,221,115,1,,12448,12448,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L07,7,RB,230,143,1,,12191,12191,,9.85121E+14,9.85121E+14,RA
10/19/2013,2013,4,L21,5,RB,225,156,1,,12749,12749,,9.85121E+14,9.85121E+14,RA
10/11/2013,2013,2,L20,4,RB,396,,4,,12333,12333,,9.85121E+14,9.85121E+14,SCA
10/17/2013,2013,0,L38,5,RB,239,157,1,,12619,12619,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L11,9,RB,252,162,1,,12529,12529,,9.85121E+14,9.85121E+14,RA
